CustomerID,Age,Gender,Income,VisitFrequency,AverageSpend,PreferredCuisine,MealType,OnlineReservation,DeliveryOrder,LoyaltyProgramMember,WaitTime
654,35,Male,83380,Weekly,27.829142002481408,Chinese,Takeaway,0,1,1,43.52392853444247
655,19,Male,43623,Rarely,115.4086222968233,American,Dine-in,0,0,0,57.524294460377256
656,41,Female,83737,Weekly,106.69377117040008,American,Dine-in,0,1,0,48.68262293174676
657,43,Male,96768,Rarely,43.508507728537204,Indian,Dine-in,0,0,0,7.552992639069949
658,55,Female,67937,Monthly,148.0846271884079,Chinese,Takeaway,0,0,1,37.78904074149977
659,42,Female,28860,Monthly,111.06469580573007,Chinese,Takeaway,0,1,1,26.853297520593713
660,20,Female,131104,Weekly,120.23670672362614,Indian,Dine-in,0,0,0,7.927917127986914
661,51,Female,137882,Weekly,160.979098,Mexican,Dine-in,1,1,0,56.447209596819285
662,27,Male,149638,Weekly,56.55863192788398,Indian,Takeaway,0,1,0,39.56818760841338
663,32,Female,136145,Weekly,65.75345485089946,Italian,Takeaway,0,0,0,20.782469072397774
664,21,Male,79249,Monthly,39.23538252336576,American,Takeaway,0,1,0,18.94857239916812
665,59,Male,94208,Weekly,132.99491822652053,Italian,Dine-in,0,0,1,55.04547514948159
666,32,Female,143471,Monthly,156.13080832081667,American,Takeaway,0,1,0,4.710545698906536
667,69,Male,38433,Daily,46.13686494728669,Italian,Takeaway,0,1,1,20.243443099287216
668,58,Male,64870,Monthly,88.93909785381422,American,Dine-in,0,0,1,58.27164817228284
669,54,Female,135616,Rarely,112.00754119239575,American,Takeaway,1,0,0,2.328375335155366
670,59,Female,123325,Weekly,63.939239535459734,Chinese,Takeaway,1,0,1,2.6735927480409294
671,42,Male,25569,Monthly,120.39019102991239,American,Dine-in,0,0,1,54.93378361480987
672,26,Female,120447,Weekly,52.11032383395981,Mexican,Takeaway,1,1,1,20.72625134788519
673,58,Male,70458,Rarely,197.37053413565985,Italian,Takeaway,1,0,1,40.374425145013745
674,27,Female,41450,Weekly,14.67769736278374,Chinese,Dine-in,0,0,0,9.871496976096521
675,40,Female,85259,Monthly,61.45665859473126,Indian,Dine-in,0,1,1,12.834379234753246
676,20,Female,116507,Weekly,169.65781016129918,Chinese,Takeaway,0,0,0,12.328760225804682
677,51,Male,40666,Weekly,54.66875506129602,Mexican,Takeaway,0,1,1,24.855225106192208
678,21,Male,62296,Weekly,161.18060367418758,Italian,Takeaway,0,1,0,34.62011065
679,40,Female,38099,Weekly,118.8142359169079,Chinese,Dine-in,1,1,1,20.895781235843174
680,51,Male,105609,Rarely,12.690320879002233,Chinese,Takeaway,1,0,0,24.074857619530405
681,68,Male,82470,Weekly,146.45272938499028,American,Dine-in,1,0,1,5.359746295306276
682,49,Female,49402,Weekly,92.14640869214098,American,Takeaway,0,0,0,22.21527652785805
683,59,Male,72461,Rarely,153.40154014573056,Italian,Takeaway,0,0,0,21.246883321995085
684,68,Female,87140,Weekly,140.8900060528823,Chinese,Dine-in,0,1,1,27.003216500832494
685,18,Female,25148,Weekly,173.8723104623021,American,Takeaway,0,1,0,55.66017477
686,35,Male,79963,Monthly,143.77762376310963,Mexican,Dine-in,1,0,1,27.341678618937298
687,65,Female,92930,Rarely,144.4566677704111,Italian,Takeaway,0,0,0,42.00528823454172
688,47,Female,50567,Daily,81.31953942329845,Indian,Dine-in,0,1,1,10.822846793708674
689,46,Male,84767,Weekly,11.047363425720393,Indian,Takeaway,0,0,1,43.479922222992684
690,38,Female,35769,Rarely,72.33102213354323,Italian,Dine-in,0,0,1,45.124605611298065
